homeTeam,AwayTeam,hScore,aScore,hExpected,aExpected,resultProb,scoreProb
Southampton,Aston Villa,1,0,1.512,0.758,55.23,15.6
Manchester Utd,Manchester City,0,2,1.29,2.848,69.64,6.5
Crystal Palace,Wolves,2,0,0.995,1.136,31.61,5.9
Chelsea,Burnley,1,1,6.074,0.381,0.79,0.4
Brentford,Norwich,1,2,3.169,0.0,0.0,0.0
Brighton,Newcastle,1,1,1.533,1.022,25.63,12.2
Leeds,Leicester,1,1,1.596,2.155,20.69,8.1
Everton,Tottenham,0,0,2.969,1.597,16.01,1.0
Arsenal,Watford,1,0,2.274,1.848,48.07,3.7
West Ham,Liverpool,3,2,0.799,4.737,1.91,0.4
Leicester,Chelsea,0,3,0.23,2.786,89.72,17.7
Wolves,West Ham,1,0,0.632,2.475,7.48,2.8
Watford,Manchester Utd,4,1,0.817,4.067,3.26,0.1
Norwich,Southampton,2,1,0.819,1.8,16.65,4.4
Newcastle,Brentford,3,3,1.311,3.106,14.07,2.3
Burnley,Crystal Palace,3,3,1.724,1.147,23.78,1.2
Aston Villa,Brighton,2,0,1.243,1.984,23.69,3.1
Liverpool,Arsenal,4,0,2.133,0.67,71.25,5.2
Manchester City,Everton,3,0,2.906,0.495,85.93,13.6
Tottenham,Leeds,2,1,1.021,1.349,28.34,6.6
Brighton,Leeds,0,0,1.482,1.391,24.88,5.7
Norwich,Wolves,0,0,0.822,2.089,19.65,5.4
Liverpool,Southampton,4,0,3.136,0.798,82.86,7.9
Crystal Palace,Aston Villa,1,2,2.414,0.496,5.82,1.6
Arsenal,Newcastle,2,0,2.535,0.837,74.18,11.0
Chelsea,Manchester Utd,1,1,4.013,0.807,6.47,2.6
Manchester City,West Ham,2,1,1.649,0.711,59.92,9.1
Leicester,Watford,4,2,1.151,2.394,16.81,0.6
Brentford,Everton,1,0,1.732,1.402,45.4,7.5
Leeds,Crystal Palace,1,0,1.75,2.342,28.98,2.9
Newcastle,Norwich,1,1,3.678,1.026,9.27,3.4
Everton,Liverpool,1,4,1.345,4.87,89.55,6.3
Aston Villa,Manchester City,1,2,0.942,2.369,69.08,9.6
Wolves,Burnley,0,0,1.34,0.862,28.03,11.1
West Ham,Brighton,1,1,1.769,1.387,23.17,10.5
Watford,Chelsea,1,2,0.172,4.089,97.04,2.0
Southampton,Leicester,2,2,1.151,0.865,30.27,3.3
Manchester Utd,Arsenal,3,2,2.275,1.026,65.46,3.8
Tottenham,Brentford,2,0,1.197,2.031,22.05,2.8
Watford,Manchester City,1,3,0.756,3.215,84.43,7.9
Wolves,Liverpool,0,1,0.658,2.68,80.09,9.5
Southampton,Brighton,1,1,0.92,0.829,33.42,13.3
Newcastle,Burnley,1,0,2.062,1.916,42.46,3.9
West Ham,Chelsea,3,2,0.45,2.883,3.53,0.2
Aston Villa,Leicester,2,1,2.508,2.242,45.36,6.1
Tottenham,Norwich,3,0,2.208,0.574,74.93,11.1
Manchester Utd,Crystal Palace,1,0,2.862,2.264,51.4,1.7
Leeds,Brentford,2,2,1.186,1.494,25.57,5.4
Everton,Arsenal,2,1,2.463,1.193,65.2,9.3
Brentford,Watford,2,1,1.57,1.646,36.71,8.1
Norwich,Manchester Utd,0,1,0.945,2.122,64.38,9.9
Liverpool,Aston Villa,1,0,3.684,0.617,90.45,5.0
Chelsea,Leeds,3,2,2.935,0.473,86.63,1.6
Arsenal,Southampton,3,0,2.756,0.615,81.93,12.0
Manchester City,Wolves,1,0,1.49,0.378,65.41,23.0
Crystal Palace,Everton,3,1,1.831,0.652,65.67,5.6
Leicester,Newcastle,4,0,2.268,1.18,61.85,3.5
Burnley,West Ham,0,0,1.085,2.12,20.34,4.1
Manchester City,Leeds,7,0,3.131,0.376,90.0,1.8
Norwich,Aston Villa,0,2,0.816,1.234,46.0,9.8
Arsenal,West Ham,2,0,1.309,0.945,44.97,9.0
Crystal Palace,Southampton,2,2,2.806,0.642,12.07,2.6
Brighton,Wolves,0,1,0.501,0.823,40.44,21.9
Liverpool,Newcastle,3,1,4.108,0.322,95.82,4.4
Chelsea,Everton,1,1,3.8,0.649,6.4,2.9
Leeds,Arsenal,1,4,1.856,1.032,20.77,0.5
Wolves,Chelsea,0,0,0.312,1.69,21.62,13.5
Newcastle,Manchester City,0,4,0.841,3.65,87.08,8.3
Tottenham,Liverpool,2,2,0.972,2.88,13.78,4.2
Aston Villa,Chelsea,1,3,0.835,2.42,72.37,7.6
West Ham,Southampton,2,3,3.375,1.23,9.9,1.8
Tottenham,Crystal Palace,3,0,2.128,1.049,62.06,6.7
Norwich,Arsenal,0,5,0.75,1.773,61.81,1.2
Manchester City,Leicester,6,3,4.097,0.463,94.46,0.1
Brighton,Brentford,2,0,0.792,1.309,22.6,3.8
Newcastle,Manchester Utd,1,1,1.263,3.075,14.04,5.1
Leicester,Liverpool,1,0,1.531,4.12,8.85,0.5
Watford,West Ham,1,4,0.907,2.426,70.85,4.7
Southampton,Tottenham,1,1,1.073,0.64,32.71,12.4
Crystal Palace,Norwich,3,0,3.127,0.353,90.34,15.7
Brentford,Manchester City,0,1,0.623,2.43,77.32,11.5
Chelsea,Brighton,1,1,1.783,0.739,22.65,10.6
Manchester Utd,Burnley,3,1,2.038,1.0,61.37,6.8
Crystal Palace,West Ham,2,3,1.428,1.338,35.23,2.6
Watford,Tottenham,0,1,1.247,1.848,51.48,8.4
Arsenal,Manchester City,1,2,0.835,1.164,43.43,7.7
Chelsea,Liverpool,2,2,1.724,2.069,21.03,7.2
Leeds,Burnley,3,1,1.492,1.174,44.53,4.5
Everton,Brighton,2,3,1.163,1.379,41.82,2.3
Brentford,Aston Villa,2,1,1.2,1.06,39.19,8.0
Manchester Utd,Wolves,0,1,1.05,1.131,37.42,12.8
Southampton,Brentford,4,1,1.158,0.953,40.41,0.9
West Ham,Norwich,2,0,3.809,0.473,93.0,10.0
Brighton,Crystal Palace,1,1,1.299,0.804,28.7,12.8
Aston Villa,Manchester Utd,2,2,1.54,1.988,21.65,6.9
Wolves,Southampton,3,1,0.818,0.755,33.98,1.4
Norwich,Everton,2,1,0.606,1.59,13.95,3.2
Newcastle,Watford,1,1,1.537,2.585,18.11,6.4
Manchester City,Chelsea,1,0,1.408,1.124,43.47,11.2
West Ham,Leeds,2,3,3.594,1.191,8.19,1.5
Liverpool,Brentford,3,0,3.241,0.67,86.13,11.4
Brighton,Chelsea,1,1,0.433,1.575,24.27,9.2
Brentford,Manchester Utd,1,3,1.19,1.569,46.11,4.9
Leicester,Tottenham,2,3,1.588,0.985,23.46,1.5
Watford,Norwich,0,3,1.897,0.545,9.8,0.2
Southampton,Manchester City,1,1,0.612,1.614,24.4,10.7
Manchester Utd,West Ham,1,0,1.402,2.299,22.71,3.5
Leeds,Newcastle,0,1,2.107,0.947,15.96,4.5
Brentford,Wolves,1,2,0.567,1.113,48.9,6.5
Everton,Aston Villa,0,1,1.852,1.579,33.2,5.1
Chelsea,Tottenham,2,0,2.206,1.005,64.62,9.8
Leicester,Brighton,1,1,1.452,1.628,23.84,10.9
Crystal Palace,Liverpool,1,3,1.55,2.584,59.93,7.1
Arsenal,Burnley,0,0,2.465,0.571,14.35,4.8
Burnley,Watford,0,0,1.264,1.211,27.15,8.4
West Ham,Watford,1,0,2.163,1.725,48.22,4.4
Newcastle,Everton,3,1,1.616,1.641,37.87,4.4
Burnley,Manchester Utd,1,1,0.96,1.41,26.99,12.7
Aston Villa,Leeds,3,3,2.757,1.633,17.32,3.1
Tottenham,Southampton,2,3,2.546,0.935,11.68,1.4
Norwich,Crystal Palace,1,1,0.906,1.581,25.24,11.9
Manchester City,Brentford,2,0,4.341,0.544,94.68,7.1
Wolves,Arsenal,0,1,0.982,1.067,37.02,13.7
Liverpool,Leicester,2,0,4.278,0.826,91.58,5.6
Norwich,Manchester City,0,4,0.346,2.843,88.08,11.2
Watford,Brighton,0,2,0.806,2.547,75.04,11.3
Everton,Leeds,3,0,2.562,2.023,50.33,2.9
Brentford,Crystal Palace,0,0,1.552,1.305,24.78,5.7
Manchester Utd,Southampton,1,1,2.628,1.495,17.75,6.4
Leicester,West Ham,2,2,1.379,2.027,21.48,6.5
Tottenham,Wolves,0,2,0.839,1.066,40.31,8.5
Newcastle,Aston Villa,1,0,1.511,1.681,34.68,6.2
Burnley,Liverpool,0,1,0.791,2.321,71.7,10.3
Manchester Utd,Brighton,2,0,1.166,1.514,29.26,4.7
