HomeTeam,AwayTeam,HScore,AScore
B. Moenchengladbach,Bayern Monachium,1,1
VfL Wolfsburg,Bochum,1,0
VfB Stuttgart,Furth,5,1
FC Augsburg,TSG Hoffenheim,0,4
Arminia Bielefeld,SC Freiburg,0,0
1. FC Union Berlin,Bayer Leverkusen,1,1
Borussia Dortmund,Eintracht Frankfurt,5,2
1. FSV Mainz 05,RB Lipsk,1,0
1. FC Koeln,Hertha Berlin,3,1
RB Lipsk,VfB Stuttgart,4,0
SC Freiburg,Borussia Dortmund,2,1
Hertha Berlin,VfL Wolfsburg,1,2
Furth,Arminia Bielefeld,1,1
Eintracht Frankfurt,FC Augsburg,0,0
Bochum,1. FSV Mainz 05,2,0
Bayer Leverkusen,B. Moenchengladbach,4,0
TSG Hoffenheim,1. FC Union Berlin,2,2
Bayern Monachium,1. FC Koeln,3,2
Borussia Dortmund,TSG Hoffenheim,3,2
VfB Stuttgart,SC Freiburg,2,3
FC Augsburg,Bayer Leverkusen,1,4
Arminia Bielefeld,Eintracht Frankfurt,1,1
1. FSV Mainz 05,Furth,3,0
1. FC Koeln,Bochum,2,1
Bayern Monachium,Hertha Berlin,5,0
1. FC Union Berlin,B. Moenchengladbach,2,1
VfL Wolfsburg,RB Lipsk,1,0
TSG Hoffenheim,1. FSV Mainz 05,0,2
SC Freiburg,1. FC Koeln,1,1
Furth,VfL Wolfsburg,0,2
Bayer Leverkusen,Borussia Dortmund,3,4
1. FC Union Berlin,FC Augsburg,0,0
RB Lipsk,Bayern Monachium,1,4
Eintracht Frankfurt,VfB Stuttgart,1,1
Bochum,Hertha Berlin,1,3
B. Moenchengladbach,Arminia Bielefeld,3,1
Hertha Berlin,Furth,2,1
FC Augsburg,B. Moenchengladbach,1,0
Bayern Monachium,Bochum,7,0
Arminia Bielefeld,TSG Hoffenheim,0,0
1. FSV Mainz 05,SC Freiburg,0,0
1. FC Koeln,RB Lipsk,1,1
VfB Stuttgart,Bayer Leverkusen,1,3
Borussia Dortmund,1. FC Union Berlin,4,2
VfL Wolfsburg,Eintracht Frankfurt,1,1
Furth,Bayern Monachium,1,3
TSG Hoffenheim,VfL Wolfsburg,3,1
RB Lipsk,Hertha Berlin,6,0
Eintracht Frankfurt,1. FC Koeln,1,1
Bayer Leverkusen,1. FSV Mainz 05,1,0
1. FC Union Berlin,Arminia Bielefeld,1,0
B. Moenchengladbach,Borussia Dortmund,1,0
Bochum,VfB Stuttgart,0,0
SC Freiburg,FC Augsburg,3,0
1. FC Koeln,Furth,3,1
VfL Wolfsburg,B. Moenchengladbach,1,3
VfB Stuttgart,TSG Hoffenheim,3,1
Hertha Berlin,SC Freiburg,1,2
Borussia Dortmund,FC Augsburg,2,1
RB Lipsk,Bochum,3,0
1. FSV Mainz 05,1. FC Union Berlin,1,2
Bayern Monachium,Eintracht Frankfurt,1,2
Arminia Bielefeld,Bayer Leverkusen,0,4
TSG Hoffenheim,1. FC Koeln,5,0
SC Freiburg,RB Lipsk,1,1
Furth,Bochum,0,1
Eintracht Frankfurt,Hertha Berlin,1,2
Borussia Dortmund,1. FSV Mainz 05,3,1
1. FC Union Berlin,VfL Wolfsburg,2,0
B. Moenchengladbach,VfB Stuttgart,1,1
Bayer Leverkusen,Bayern Monachium,1,5
FC Augsburg,Arminia Bielefeld,1,1
1. FSV Mainz 05,FC Augsburg,4,1
VfL Wolfsburg,SC Freiburg,0,2
RB Lipsk,Furth,4,1
Bayern Monachium,TSG Hoffenheim,4,0
Arminia Bielefeld,Borussia Dortmund,1,3
Hertha Berlin,B. Moenchengladbach,1,0
1. FC Koeln,Bayer Leverkusen,2,2
VfB Stuttgart,1. FC Union Berlin,1,1
Bochum,Eintracht Frankfurt,2,0
TSG Hoffenheim,Hertha Berlin,2,0
SC Freiburg,Furth,3,1
Borussia Dortmund,1. FC Koeln,2,0
Bayer Leverkusen,VfL Wolfsburg,0,2
Arminia Bielefeld,1. FSV Mainz 05,1,2
1. FC Union Berlin,Bayern Monachium,2,5
Eintracht Frankfurt,RB Lipsk,1,1
FC Augsburg,VfB Stuttgart,4,1
B. Moenchengladbach,Bochum,2,1
1. FSV Mainz 05,B. Moenchengladbach,1,1
VfL Wolfsburg,FC Augsburg,1,0
VfB Stuttgart,Arminia Bielefeld,0,1
Bochum,TSG Hoffenheim,2,0
Bayern Monachium,SC Freiburg,2,1
RB Lipsk,Borussia Dortmund,2,1
Hertha Berlin,Bayer Leverkusen,1,1
1. FC Koeln,1. FC Union Berlin,2,2
Furth,Eintracht Frankfurt,1,2
FC Augsburg,Bayern Monachium,2,1
TSG Hoffenheim,RB Lipsk,2,0
Borussia Dortmund,VfB Stuttgart,2,1
Bayer Leverkusen,Bochum,1,0
B. Moenchengladbach,Furth,4,0
Arminia Bielefeld,VfL Wolfsburg,2,2
1. FC Union Berlin,Hertha Berlin,2,0
1. FSV Mainz 05,1. FC Koeln,1,1
SC Freiburg,Eintracht Frankfurt,0,2
VfB Stuttgart,1. FSV Mainz 05,2,1
Bayern Monachium,Arminia Bielefeld,1,0
VfL Wolfsburg,Borussia Dortmund,1,3
Hertha Berlin,FC Augsburg,1,1
Furth,TSG Hoffenheim,3,6
1. FC Koeln,B. Moenchengladbach,4,1
Bochum,SC Freiburg,2,1
RB Lipsk,Bayer Leverkusen,1,3
Eintracht Frankfurt,1. FC Union Berlin,2,1
1. FC Union Berlin,RB Lipsk,2,1
Borussia Dortmund,Bayern Monachium,2,3
1. FSV Mainz 05,VfL Wolfsburg,3,0
TSG Hoffenheim,Eintracht Frankfurt,3,2
FC Augsburg,Bochum,2,3
Bayer Leverkusen,Furth,7,1
Arminia Bielefeld,1. FC Koeln,1,1
B. Moenchengladbach,SC Freiburg,0,6
VfB Stuttgart,Hertha Berlin,2,2
1. FC Koeln,FC Augsburg,0,2
VfL Wolfsburg,VfB Stuttgart,0,2
SC Freiburg,TSG Hoffenheim,1,2
RB Lipsk,B. Moenchengladbach,4,1
Hertha Berlin,Arminia Bielefeld,2,0
Bochum,Borussia Dortmund,1,1
Bayern Monachium,1. FSV Mainz 05,2,1
Eintracht Frankfurt,Bayer Leverkusen,5,2
Furth,1. FC Union Berlin,1,0
VfL Wolfsburg,1. FC Koeln,2,3
1. FSV Mainz 05,Hertha Berlin,4,0
Arminia Bielefeld,Bochum,2,0
VfB Stuttgart,Bayern Monachium,0,5
FC Augsburg,RB Lipsk,1,1
Borussia Dortmund,Furth,3,0
Bayer Leverkusen,TSG Hoffenheim,2,2
1. FC Union Berlin,SC Freiburg,0,0
B. Moenchengladbach,Eintracht Frankfurt,2,3
Bayern Monachium,VfL Wolfsburg,4,0
Hertha Berlin,Borussia Dortmund,3,2
RB Lipsk,Arminia Bielefeld,0,2
TSG Hoffenheim,B. Moenchengladbach,1,1
Furth,FC Augsburg,0,0
Eintracht Frankfurt,1. FSV Mainz 05,1,0
Bochum,1. FC Union Berlin,0,1
SC Freiburg,Bayer Leverkusen,2,1
1. FC Koeln,VfB Stuttgart,1,0
Bayern Monachium,B. Moenchengladbach,1,2
Eintracht Frankfurt,Borussia Dortmund,2,3
SC Freiburg,Arminia Bielefeld,2,2
RB Lipsk,1. FSV Mainz 05,4,1
TSG Hoffenheim,FC Augsburg,3,1
Furth,VfB Stuttgart,0,0
Bayer Leverkusen,1. FC Union Berlin,2,2
Bochum,VfL Wolfsburg,1,0
Hertha Berlin,1. FC Koeln,1,3
Borussia Dortmund,SC Freiburg,5,1
B. Moenchengladbach,Bayer Leverkusen,1,2
VfL Wolfsburg,Hertha Berlin,0,0
VfB Stuttgart,RB Lipsk,0,2
1. FSV Mainz 05,Bochum,1,0
1. FC Koeln,Bayern Monachium,0,4
1. FC Union Berlin,TSG Hoffenheim,2,1
Arminia Bielefeld,Furth,2,2
FC Augsburg,Eintracht Frankfurt,1,1
Eintracht Frankfurt,Arminia Bielefeld,0,2
Bochum,1. FC Koeln,2,2
SC Freiburg,VfB Stuttgart,2,0
B. Moenchengladbach,1. FC Union Berlin,1,2
TSG Hoffenheim,Borussia Dortmund,2,3
Furth,1. FSV Mainz 05,2,1
Bayer Leverkusen,FC Augsburg,5,1
Hertha Berlin,Bayern Monachium,1,4
RB Lipsk,VfL Wolfsburg,2,0
Hertha Berlin,Bochum,1,1
Bayern Monachium,RB Lipsk,3,2
VfB Stuttgart,Eintracht Frankfurt,2,3
1. FSV Mainz 05,TSG Hoffenheim,2,0
FC Augsburg,1. FC Union Berlin,2,0
1. FC Koeln,SC Freiburg,1,0
Arminia Bielefeld,B. Moenchengladbach,1,1
Borussia Dortmund,Bayer Leverkusen,2,5
VfL Wolfsburg,Furth,4,1
