HomeTeam,AwayTeam,HScore,AScore
Bournemouth,West Brom,2,2
Blackburn,Swansea,2,1
Bristol City,Blackpool,1,1
Cardiff,Barnsley,1,1
Derby,Huddersfield,1,1
Luton,Peterborough,3,0
Preston,Hull,1,4
QPR,Millwall,1,1
Stoke,Reading,3,2
Sheffield Utd,Birmingham,0,1
Fulham,Middlesbrough,1,1
Coventry,Nottingham,2,1
Peterborough,Derby,2,1
Barnsley,Coventry,1,0
Birmingham,Stoke,0,0
Blackpool,Cardiff,0,2
Huddersfield,Fulham,1,5
Hull,QPR,0,3
Middlesbrough,Bristol City,2,1
Millwall,Blackburn,1,1
Nottingham,Bournemouth,1,2
Reading,Preston,2,1
West Brom,Luton,3,2
Swansea,Sheffield Utd,0,0
Barnsley,Luton,0,1
Blackpool,Coventry,0,1
Huddersfield,Preston,1,0
Millwall,Fulham,1,2
Peterborough,Cardiff,2,2
Swansea,Stoke,1,3
Reading,Bristol City,2,3
Birmingham,Bournemouth,0,2
Hull,Derby,0,1
Middlesbrough,QPR,2,3
Nottingham,Blackburn,1,2
West Brom,Sheffield Utd,4,0
Bristol City,Swansea,0,1
QPR,Barnsley,2,2
Blackburn,West Brom,1,2
Bournemouth,Blackpool,2,2
Cardiff,Millwall,3,1
Coventry,Reading,2,1
Derby,Middlesbrough,0,0
Fulham,Hull,2,0
Luton,Birmingham,0,5
Preston,Peterborough,1,0
Sheffield Utd,Huddersfield,1,2
Stoke,Nottingham,1,0
Cardiff,Bristol City,1,2
Derby,Nottingham,1,1
Barnsley,Birmingham,1,1
Fulham,Stoke,3,0
Huddersfield,Reading,4,0
Hull,Bournemouth,0,0
Luton,Sheffield Utd,0,0
Middlesbrough,Blackburn,1,1
Millwall,Blackpool,2,1
Preston,Swansea,3,1
QPR,Coventry,2,0
Peterborough,West Brom,0,1
Birmingham,Derby,2,0
Blackburn,Luton,2,2
Blackpool,Fulham,1,0
Bournemouth,Barnsley,3,0
Bristol City,Preston,0,0
Coventry,Middlesbrough,2,0
Reading,QPR,3,3
Sheffield Utd,Peterborough,6,2
Stoke,Huddersfield,2,1
Swansea,Hull,0,0
West Brom,Millwall,1,1
Nottingham,Cardiff,1,2
Blackburn,Hull,2,0
Blackpool,Huddersfield,0,3
Bournemouth,QPR,2,1
Sheffield Utd,Preston,2,2
Reading,Peterborough,3,1
West Brom,Derby,0,0
Birmingham,Fulham,1,4
Bristol City,Luton,1,1
Coventry,Cardiff,1,0
Nottingham,Middlesbrough,0,2
Stoke,Barnsley,1,1
Swansea,Millwall,0,0
Hull,Sheffield Utd,1,3
Barnsley,Blackburn,0,0
Cardiff,Bournemouth,0,1
Derby,Stoke,2,1
Fulham,Reading,1,2
Huddersfield,Nottingham,0,2
Luton,Swansea,3,3
Middlesbrough,Blackpool,1,2
Millwall,Coventry,1,1
Peterborough,Birmingham,3,0
Preston,West Brom,1,1
QPR,Bristol City,1,2
Coventry,Peterborough,3,0
West Brom,QPR,2,1
Reading,Middlesbrough,1,0
Swansea,Huddersfield,1,0
Stoke,Hull,2,0
Sheffield Utd,Derby,1,0
Nottingham,Millwall,1,1
Bristol City,Fulham,1,1
Bournemouth,Luton,2,1
