HomeTeam,AwayTeam,HScore,AScore
Valencia,Getafe,1,0
Mallorca,Betis,1,1
Cadiz,Levante,1,1
Osasuna,Espanyol,0,0
Alaves,Real Madryt,1,4
Celta Vigo,Atl. Madryt,1,2
Barcelona,Real Sociedad,4,2
Sevilla,Vallecano,3,0
Villarreal,Granada,0,0
Elche,Ath. Bilbao,0,0
Betis,Cadiz,1,1
Alaves,Mallorca,0,1
Granada,Valencia,1,1
Espanyol,Villarreal,0,0
Ath. Bilbao,Barcelona,1,1
Real Sociedad,Vallecano,1,0
Atl. Madryt,Elche,1,0
Levante,Real Madryt,3,3
Getafe,Sevilla,0,1
Osasuna,Celta Vigo,0,0
Mallorca,Espanyol,1,0
Valencia,Alaves,3,0
Celta Vigo,Ath. Bilbao,0,1
Real Sociedad,Levante,1,0
Elche,Sevilla,1,1
Betis,Real Madryt,0,1
Barcelona,Getafe,2,1
Vallecano,Granada,4,0
Cadiz,Osasuna,2,3
Atl. Madryt,Villarreal,2,2
Levante,Vallecano,1,1
Ath. Bilbao,Mallorca,2,0
Espanyol,Atl. Madryt,1,2
Osasuna,Valencia,1,4
Cadiz,Real Sociedad,0,2
Real Madryt,Celta Vigo,5,2
Getafe,Elche,0,1
Granada,Betis,1,2
Celta Vigo,Cadiz,1,2
Vallecano,Getafe,3,0
Atl. Madryt,Ath. Bilbao,0,0
Elche,Levante,1,1
Alaves,Osasuna,0,2
Mallorca,Villarreal,0,0
Real Sociedad,Sevilla,0,0
Betis,Espanyol,2,2
Valencia,Real Madryt,1,2
Barcelona,Granada,1,1
Getafe,Atl. Madryt,1,2
Levante,Celta Vigo,0,2
Ath. Bilbao,Vallecano,1,2
Sevilla,Valencia,3,1
Espanyol,Alaves,1,0
Villarreal,Elche,4,1
Real Madryt,Mallorca,6,1
Osasuna,Betis,1,3
Granada,Real Sociedad,2,3
Cadiz,Barcelona,0,0
Alaves,Atl. Madryt,1,0
Valencia,Ath. Bilbao,1,1
Sevilla,Espanyol,2,0
Real Madryt,Villarreal,0,0
Mallorca,Osasuna,2,3
Barcelona,Levante,3,0
Vallecano,Cadiz,3,1
Real Sociedad,Elche,1,0
Betis,Getafe,2,0
Celta Vigo,Granada,1,0
