HomeTeam,AwayTeam,HScore,AScore
Monaco,Nantes,1,1
Lyon,Brest,1,1
Troyes,PSG,1,2
Rennes,Lens,1,1
Bordeaux,Clermont,0,2
Nice,Reims,0,0
St. Etienne,Lorient,1,1
Strasbourg,Angers,0,2
Metz,Lille,3,3
Montpellier,Marsylia,2,3
Lorient,Monaco,1,0
Lille,Nice,0,4
PSG,Strasbourg,4,2
Angers,Lyon,3,0
Brest,Rennes,1,1
Clermont,Troyes,2,0
Nantes,Metz,2,0
Reims,Montpellier,3,3
Lens,St. Etienne,2,2
Marsylia,Bordeaux,2,2
Brest,PSG,2,4
Monaco,Lens,0,2
St. Etienne,Lille,1,1
Lyon,Clermont,3,3
Strasbourg,Troyes,1,1
Montpellier,Lorient,3,1
Metz,Reims,1,1
Bordeaux,Angers,1,1
Rennes,Nantes,1,0
Nantes,Lyon,0,1
Nice,Bordeaux,4,0
Marsylia,St. Etienne,3,1
Troyes,Monaco,1,2
Strasbourg,Brest,3,1
Lens,Lorient,2,2
Clermont,Metz,2,2
Angers,Rennes,2,0
Lille,Montpellier,2,1
Reims,PSG,0,2
Lorient,Lille,2,1
PSG,Clermont,4,0
Monaco,Marsylia,0,2
Montpellier,St. Etienne,2,0
Rennes,Reims,0,2
Metz,Troyes,0,2
Brest,Angers,1,1
Bordeaux,Lens,2,3
Nantes,Nice,0,2
Lyon,Strasbourg,3,1
Strasbourg,Metz,3,0
Lens,Lille,1,0
St. Etienne,Bordeaux,1,2
Nice,Monaco,2,2
Troyes,Montpellier,1,1
Reims,Lorient,0,0
Clermont,Brest,1,1
Angers,Nantes,1,4
Marsylia,Rennes,2,0
PSG,Lyon,2,1
Rennes,Clermont,6,0
Nantes,Brest,3,1
Montpellier,Bordeaux,3,3
Monaco,St. Etienne,3,1
Lille,Reims,2,1
Metz,PSG,1,2
Lyon,Troyes,3,1
Lorient,Nice,1,0
Lens,Strasbourg,0,1
Angers,Marsylia,0,0
St. Etienne,Nice,0,3
Strasbourg,Lille,1,2
PSG,Montpellier,2,0
Lyon,Lorient,1,1
Bordeaux,Rennes,1,1
Troyes,Angers,1,1
Reims,Nantes,3,1
Brest,Metz,1,2
Clermont,Monaco,1,3
Marsylia,Lens,2,3
Lens,Reims,2,0
Montpellier,Strasbourg,1,1
Nice,Brest,2,1
Rennes,PSG,2,0
Nantes,Troyes,2,0
Monaco,Bordeaux,3,0
Lorient,Clermont,1,1
Angers,Metz,3,2
Lille,Marsylia,2,0
St. Etienne,Lyon,1,1
PSG,Angers,2,1
Clermont,Lille,1,0
Lyon,Monaco,2,0
Troyes,Nice,1,0
Strasbourg,St. Etienne,5,1
Metz,Rennes,0,3
Brest,Reims,1,1
Bordeaux,Nantes,1,1
Montpellier,Lens,1,0
Marsylia,Lorient,4,1
St. Etienne,Angers,2,2
Nantes,Clermont,2,1
Lille,Brest,1,1
Nice,Lyon,3,2
Rennes,Strasbourg,1,0
Reims,Troyes,1,2
Lorient,Bordeaux,1,1
Lens,Metz,4,1
Monaco,Montpellier,3,1
Marsylia,PSG,0,0
Nice,Marsylia,1,1
PSG,Lille,2,1
Metz,St. Etienne,1,1
Lyon,Lens,2,1
Angers,Nice,1,2
Troyes,Rennes,2,2
Strasbourg,Lorient,4,0
Montpellier,Nantes,2,0
Bordeaux,Reims,3,2
Brest,Monaco,2,0
Clermont,Marsylia,0,1
Lens,Troyes,4,0
Lille,Angers,1,1
Bordeaux,PSG,2,3
Marsylia,Metz,0,0
St. Etienne,Clermont,3,2
Reims,Monaco,0,0
Nantes,Strasbourg,2,2
Lorient,Brest,1,2
Nice,Montpellier,0,1
Rennes,Lyon,4,1
Monaco,Lille,2,2
PSG,Nantes,3,1
Rennes,Montpellier,2,0
Troyes,St. Etienne,0,1
Strasbourg,Reims,1,1
Metz,Bordeaux,3,3
Angers,Lorient,1,0
Clermont,Nice,1,2
Brest,Lens,4,0
Lens,Angers,2,2
Nice,Metz,0,1
Lille,Nantes,1,1
Montpellier,Lyon,0,1
Reims,Clermont,1,0
Monaco,Strasbourg,1,1
Lorient,Rennes,0,2
Bordeaux,Brest,1,2
St. Etienne,PSG,1,3
Marsylia,Troyes,1,0
PSG,Nice,0,0
Rennes,Lille,1,2
Nantes,Marsylia,0,1
Lyon,Reims,1,2
Clermont,Lens,2,2
Troyes,Lorient,2,0
Strasbourg,Bordeaux,5,2
Metz,Montpellier,1,3
Brest,St. Etienne,1,0
Angers,Monaco,1,3
Lens,PSG,1,1
Lille,Troyes,2,1
Marsylia,Brest,1,2
Bordeaux,Lyon,2,2
Nice,Strasbourg,0,3
Reims,Angers,1,2
Montpellier,Clermont,1,0
Monaco,Metz,4,0
Lorient,Nantes,0,1
St. Etienne,Rennes,0,5
Nantes,Lens,3,2
Reims,St. Etienne,2,0
Brest,Montpellier,0,4
PSG,Monaco,2,0
Strasbourg,Marsylia,0,2
Troyes,Bordeaux,1,2
Rennes,Nice,1,2
Metz,Lorient,4,1
Angers,Clermont,0,1
Lille,Lyon,0,0
Troyes,Brest,1,1
St. Etienne,Nantes,0,1
Nice,Lens,2,1
Montpellier,Angers,4,1
Monaco,Rennes,2,1
Marsylia,Reims,1,1
Lyon,Metz,1,1
Lorient,PSG,1,1
Bordeaux,Lille,2,3
Bordeaux,Marsylia,0,1
Lens,Rennes,1,0
Lyon,PSG,1,1
Nantes,Monaco,0,0
Metz,Strasbourg,0,2
Clermont,Reims,0,0
Brest,Nice,0,3
Nice,Nantes,2,1
PSG,Brest,2,0
St. Etienne,Lens,1,2
Marsylia,Lille,1,1
Troyes,Lyon,0,1
Strasbourg,Montpellier,3,1
Reims,Metz,0,1
Monaco,Clermont,4,0
Lorient,Angers,0,0
Rennes,Bordeaux,6,0
Montpellier,Troyes,0,1
Lille,Lorient,3,1
Clermont,Strasbourg,0,2
Lyon,St. Etienne,1,0
Lens,Marsylia,0,2
Brest,Lille,2,0
PSG,Reims,4,0
Montpellier,Monaco,3,2
Nantes,Lorient,4,2
Clermont,Rennes,2,1
Bordeaux,Strasbourg,4,3
Angers,Troyes,2,1
Metz,Nice,0,2
Angers,St. Etienne,0,1
Lyon,Marsylia,2,1
Marsylia,Angers,5,2
Monaco,Lyon,2,0
St. Etienne,Montpellier,3,1
Lille,PSG,1,5
Rennes,Brest,2,0
Troyes,Metz,0,0
Strasbourg,Nantes,1,0
Reims,Bordeaux,5,0
Nice,Clermont,0,1
Lorient,Lens,2,0
PSG,Rennes,1,0
Lyon,Nice,2,0
Montpellier,Lille,0,1
Metz,Marsylia,1,2
Lens,Bordeaux,3,2
