HomeTeam,AwayTeam,HScore,AScore
Inter,Genoa,4,0
Verona,Sassuolo,2,3
Empoli,Lazio,1,3
Torino,Atalanta,1,2
Bologna,Salernitana,3,2
Udinese,Juventus,2,2
Napoli,Venezia,2,0
AS Roma,Fiorentina,3,1
Cagliari,Spezia,2,2
Sampdoria,AC Milan,0,1
Udinese,Venezia,3,0
Verona,Inter,1,3
Atalanta,Bologna,0,0
Lazio,Spezia,6,1
Juventus,Empoli,0,1
Fiorentina,Torino,2,1
Sassuolo,Sampdoria,0,0
Genoa,Napoli,1,2
Salernitana,AS Roma,0,4
AC Milan,Cagliari,4,1
Empoli,Venezia,1,2
Napoli,Juventus,2,1
Atalanta,Fiorentina,1,2
Sampdoria,Inter,2,2
Torino,Salernitana,4,0
Spezia,Udinese,0,1
Cagliari,Genoa,2,3
AC Milan,Lazio,2,0
AS Roma,Sassuolo,2,1
Bologna,Verona,1,0
Sassuolo,Torino,0,1
Genoa,Fiorentina,1,2
Inter,Bologna,6,1
Salernitana,Atalanta,0,1
Empoli,Sampdoria,0,3
Venezia,Spezia,1,2
Verona,AS Roma,3,2
Lazio,Cagliari,2,2
Juventus,AC Milan,1,1
Udinese,Napoli,0,4
Bologna,Genoa,2,2
Fiorentina,Inter,1,3
Atalanta,Sassuolo,2,1
Spezia,Juventus,2,3
Salernitana,Verona,2,2
Cagliari,Empoli,0,2
AC Milan,Venezia,2,0
Torino,Lazio,1,1
Sampdoria,Napoli,0,4
AS Roma,Udinese,1,0
Spezia,AC Milan,1,2
Inter,Atalanta,2,2
Genoa,Verona,3,3
Juventus,Sampdoria,3,2
Udinese,Fiorentina,0,1
Sassuolo,Salernitana,1,0
Empoli,Bologna,4,2
Lazio,AS Roma,3,2
Napoli,Cagliari,2,0
Venezia,Torino,1,1
Cagliari,Venezia,1,1
Salernitana,Genoa,1,0
Torino,Juventus,0,1
Sassuolo,Inter,1,2
Bologna,Lazio,3,0
Verona,Spezia,4,0
Sampdoria,Udinese,3,3
Fiorentina,Napoli,1,2
AS Roma,Empoli,2,0
Atalanta,AC Milan,2,3
Spezia,Salernitana,2,1
Lazio,Inter,3,1
AC Milan,Verona,3,2
Cagliari,Sampdoria,3,1
Udinese,Bologna,1,1
Genoa,Sassuolo,2,2
Empoli,Atalanta,1,4
Napoli,Torino,1,0
Juventus,AS Roma,1,0
Venezia,Fiorentina,1,0
Torino,Genoa,3,2
Sampdoria,Spezia,2,1
Salernitana,Empoli,2,4
Sassuolo,Venezia,3,1
Bologna,AC Milan,2,4
Atalanta,Udinese,1,1
Verona,Lazio,4,1
Fiorentina,Cagliari,3,0
AS Roma,Napoli,0,0
Inter,Juventus,1,1
Venezia,Salernitana,1,2
Spezia,Genoa,1,1
AC Milan,Torino,1,0
Udinese,Verona,1,1
Sampdoria,Atalanta,1,3
Juventus,Sassuolo,1,2
Lazio,Fiorentina,1,0
Empoli,Inter,0,2
Cagliari,AS Roma,1,2
Napoli,Bologna,3,0
Atalanta,Lazio,2,2
Verona,Juventus,2,1
Torino,Sampdoria,3,0
Inter,Udinese,2,0
Sassuolo,Empoli,1,2
Genoa,Venezia,0,0
Fiorentina,Spezia,3,0
Salernitana,Napoli,0,1
AS Roma,AC Milan,1,2
Bologna,Cagliari,2,0
Empoli,Genoa,2,2
Spezia,Torino,1,0
Juventus,Fiorentina,1,0
Cagliari,Atalanta,1,2
Venezia,AS Roma,3,2
Udinese,Sassuolo,3,2
Sampdoria,Bologna,1,2
Napoli,Verona,1,1
Lazio,Salernitana,3,0
AC Milan,Inter,1,1
Atalanta,Spezia,5,2
Lazio,Juventus,0,2
Fiorentina,AC Milan,4,3
Salernitana,Sampdoria,0,2
Bologna,Venezia,0,1
Sassuolo,Cagliari,2,2
Inter,Napoli,3,2
Genoa,AS Roma,0,2
Torino,Udinese,2,1
Verona,Empoli,2,1
Cagliari,Salernitana,1,1
Venezia,Inter,0,2
Juventus,Atalanta,0,1
Sampdoria,Verona,3,1
Empoli,Fiorentina,2,1
AS Roma,Torino,1,0
Spezia,Bologna,0,1
AC Milan,Sassuolo,1,3
Udinese,Genoa,0,0
Napoli,Lazio,4,0
Verona,Cagliari,0,0
Salernitana,Juventus,0,2
Fiorentina,Sampdoria,3,1
Atalanta,Venezia,4,0
Sassuolo,Napoli,2,2
Genoa,AC Milan,0,3
Inter,Spezia,2,0
Bologna,AS Roma,1,0
Torino,Empoli,2,2
Lazio,Udinese,4,4
Napoli,Atalanta,2,3
AS Roma,Inter,0,3
AC Milan,Salernitana,2,0
Juventus,Genoa,2,0
Sampdoria,Lazio,1,3
Venezia,Verona,3,4
Spezia,Sassuolo,2,2
Bologna,Fiorentina,2,3
Empoli,Udinese,3,1
Cagliari,Torino,1,1
Genoa,Sampdoria,1,3
Udinese,AC Milan,1,1
Venezia,Juventus,1,1
Fiorentina,Salernitana,4,0
Inter,Cagliari,4,0
